"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Runosmäki","3 h, k, ph, wc,...","kt","75,00",105000,1400,1973,"7/8","on","hyvä","oma","C2007"
"Patterinhaka","3h+kk+kph+parveke","kt","56,00",119000,2125,1957,"7/7","on","tyyd.","oma","F2013"
"Satama","3 h,k,s,khh,eri...","kt","104,00",493000,4740,2020,"7/7","on"," ","oma","A2018"
"Luolavuori","3h, k, p","kt","76,00",132000,1737,1967,"6/8","on","tyyd.","oma","D2013"
"Satama","3 h,k,s,vaateh,...","kt","91,00",468000,5143,2022,"6/6","on"," ","oma","A2018"
"Satama","3 h,k,s,khh,eri...","kt","89,00",414000,4652,2020,"6/7","on"," ","oma","A2018"
"Keskusta","3 h + k + rh + ...","kt","119,00",290000,2437,1961,"6/8","on","tyyd.","oma","E2013"
"Satama","3 h,k,s,parveke","kt","73,00",348000,4767,2020,"6/7","on"," ","oma","A2018"
"Satama","3h,kt,s. erill....","kt","72,00",269000,3736,2020,"6/7","on"," ","vuokra","B2018"
"Uittamo","3h, k, p","kt","66,00",136000,2061,1965,"6/7","on","hyvä","oma","E"
"Runosmäki","3 h, k, kph, wc...","kt","79,00",99000,1253,1972,"6/7","on","hyvä","oma","D2007"
"Patterinhaka","3h, kt, s, p","kt","51,00",217000,4255,2017,"5/8","on","hyvä","oma","C2013"
"Keskusta","3h, k","kt","86,00",315000,3663,1919,"5/7","on","hyvä","oma","D2007"
"Ilpoinen","3h,k,kph,lasite...","kt","73,00",117000,1603,1972,"5/7","on","hyvä","oma","C2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",335000,4527,2022,"5/6","on"," ","oma","A2018"
"Nummi","3h, k, kh","kt","61,00",167000,2738,1958,"5/10","on","hyvä","oma","D"
"Satama","3 h,k,s,p","kt","65,00",290000,4462,2022,"5/6","on"," ","oma","A2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",335000,4527,2022,"5/6","on"," ","oma","A2018"
"Luolavuori","3h,k,kph,vh,lp","kt","76,00",177500,2336,1967,"5/8","on","hyvä","oma","D2007"
"Satama","3 h,k,s,p","kt","65,00",290000,4462,2022,"5/6","on"," ","oma","A2018"
"Satama","3 h,k,vh,s","kt","61,00",267000,4377,2019,"5/6","on"," ","oma","B2013"
"Satama","3 h,k,s,parveke","kt","73,00",337000,4616,2020,"5/7","on"," ","oma","A2018"
"Port arthur","3h,k,kph,p","kt","67,00",237000,3537,1955,"5/5","on","hyvä","oma","G2013"
"Westpark","3 h + kt + s","kt","77,00",287000,3727,2015,"5/5","on","hyvä","oma","C2013"
"Keskusta","3h,kk,kph,parveke","kt","58,00",165000,2845,1962,"5/8","on","hyvä","oma","D2013"
"Laukkavuori","3h, avokeitti&#...","kt","75,00",139000,1853,1971,"5/7","on","hyvä","oma","F"
"Satama","3 h,k,s,erill. ...","kt","81,00",376000,4642,2020,"5/6","on"," ","oma","A2018"
"Satama","3 h,k,s,erill. ...","kt","81,00",376000,4642,2020,"5/6","on"," ","oma","A2018"
"Keskusta","3h, k, p","kt","78,00",259000,3321,1963,"5/8","on","hyvä","oma","F2013"
"Satama","3 h,k,s","kt","55,00",255000,4636,2019,"5/7","on"," ","oma","B2013"
"Ispoinen","3h,k,kph,wc,p","kt","75,00",110000,1467,1967,"5/5","on","tyyd.","oma","F2013"
"Port arthur","3h,k,kph,p","kt","66,00",200000,3030,1955,"5/5","on","hyvä","oma","G2013"
"Nättinummi","3h, k, kph, eri...","kt","75,00",109500,1460,1973,"5/7","on","tyyd.","oma","D2007"
"Luolavuori","3h,k,p","kt","76,00",129500,1704,1967,"5/8","on","tyyd.","oma","D2013"
"Ilpoinen","3 h,k","kt","67,00",140000,2090,1971,"5/8","ei","hyvä","oma","D2018"
"Ilpoinen","3h, k, kh, wc, p","kt","67,00",112000,1672,1971,"5/8","on","hyvä","oma","E2013"
"Itäinen keskusta","3 h, k, s","kt","83,50",294000,3521,1999,"5/8","on","hyvä","oma","F2013"
"Keskusta","3 h, k, kph, s, p.","kt","80,50",230000,2857,1936,"5/6","on","hyvä","oma","C2007"
"Luolavuori","3h, k, p","kt","63,00",147000,2333,1961,"5/8","on","hyvä","oma","G2007"
"Satama","3 h,k,s","kt","55,00",250000,4545,2019,"4/7","on"," ","oma","B2013"
"Satama","3 h,k,s,p","kt","65,00",285000,4385,2022,"4/6","on"," ","oma","A2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",329000,4446,2022,"4/6","on"," ","oma","A2018"
"Lauste","3h,k,kph,erill....","kt","75,50",90000,1192,1976,"4/7","on","hyvä","oma","F2013"
"Vasaramäki","3h, k,p","kt","72,00",130000,1806,1961,"4/4","ei","tyyd.","vuokra","F2007"
"Suikkila","3h+k","kt","80,00",130000,1625,1971,"4/5","on","tyyd.","oma","F2013"
"Satama","3 h,k,s,p","kt","65,00",285000,4385,2022,"4/6","on"," ","oma","A2018"
"Satama","3 h,k,s,parveke","kt","73,00",335000,4589,2020,"4/7","on"," ","oma","A2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",329000,4446,2022,"4/6","on"," ","oma","A2018"
"Keskusta","3h,k,s","kt","169,00",737000,4361,1927,"4/7","on","hyvä","oma",
"Keskusta","3h+k+s","kt","80,50",219000,2720,1936,"4/6","on","tyyd.","oma","C2007"
"Keskusta","3 h,kt,s","kt","75,50",359000,4755,2015,"4/6","on","hyvä","oma",
"Härkämäki","3h+k+2vh+kph+p","kt","80,00",87000,1088,1980,"4/9","on"," ","oma","C2013"
"Satama","3 h,k,s,khh,eri...","kt","89,00",386000,4337,2020,"4/7","on"," ","oma","A2018"
"Raunistula","3h, k, s","kt","79,00",235000,2975,2005,"4/4","on","hyvä","oma","E"
"Keskusta","3h+keittiö...","kt","104,50",330000,3158,1982,"4/8","on","tyyd.","oma","E2013"
"Keskusta / linnanfältti","2-3 h,kt,s,eril...","kt","75,00",334900,4465,2019,"4/5","on"," ","oma","B2018"
"Hannunniittu","3h, k, p","kt","66,00",148500,2250,1968,"4/7","on","tyyd.","oma","D2013"
"Luolavuori","3h+kk","kt","51,00",132000,2588,1961,"4/8","on","hyvä","oma","G2013"
"Uittamo","3h,k, p","kt","80,00",122000,1525,1976,"4/7","on","tyyd.","oma","D2007"
"Ruohonpää","3h,k,s, lasitet...","kt","72,00",201000,2792,2003,"4/4","on","hyvä","oma","C2007"
"Suikkila","3h,k,kph,s,lp","kt","79,00",150000,1899,1984,"4/5","on","tyyd.","oma","D2013"
"Kakolanmäki","3h,kt,s","kt","63,00",238000,3778,2015,"4/4","on","hyvä","vuokra","B2013"
"Hannunniittu","3h+k","kt","69,50",132000,1899,1967,"4/7","on","hyvä","oma","D2007"
"Vasaramäki","3h, k, kh, p","kt","58,50",105000,1795,1961,"4/4","ei","tyyd.","vuokra","F2007"
"Telakkaranta","3h+k+kph/wc+s","kt","72,50",332500,4586,2015,"4/7","on","hyvä","oma","C2013"
"Itäinen keskusta","3h, k","kt","73,00",248000,3397,1964,"4/7","on","hyvä","oma","F2013"
"Suikkila","3h,k,kph,vh,p","kt","66,00",134000,2030,1969,"4/8","on","hyvä","oma","F2013"
"Hannunniittu","3h, k, p","kt","67,50",115000,1704,1967,"4/7","on","tyyd.","oma","D"
"Ispoinen","3h, k","kt","76,00",145000,1908,1970,"4/7","on","hyvä","oma","F2013"
"Jäkärlä","3h+k","kt","80,00",70500,881,1983,"3/3","ei","tyyd.","oma","F2013"
"Vasaramäki","3 h+k","kt","65,00",126000,1938,1969,"3/5","on","tyyd.","oma","D2007"
"Lauste","3h,k,kph,wc,lp.","kt","76,00",110000,1447,1975,"3/8","on","hyvä","vuokra","C2007"
"Satama","3 h,k,s,p","kt","65,00",280000,4308,2022,"3/6","on"," ","oma","A2018"
"Satama","3 h,k,s,p","kt","65,00",280000,4308,2022,"3/6","on"," ","oma","A2018"
"Itäinen keskusta","3h+k","kt","85,50",325000,3801,1969,"3/8","on","hyvä","oma","E2013"
"Koivula","3h+k+s","kt","79,50",146000,1836,1985,"3/3","ei","hyvä","oma","C2007"
"Kastu","3h, k, p","kt","76,00",110000,1447,1966,"3/3","ei","huono","oma","F2013"
"Martti","3h + k","kt","69,00",198000,2870,1961,"3/7","on","tyyd.","oma","D2007"
"Ilpoinen","3h,k","kt","67,00",91597,1367,1971,"3/8","on","hyvä","vuokra","E2013"
"Lauste","3h+k+kph+wc+lp.","kt","76,00",70000,921,1973,"3/4","on","tyyd.","vuokra","F2013"
"Satama","3 h,k,s,vaateh,...","kt","74,00",314000,4243,2022,"3/6","on"," ","oma","A2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",324000,4378,2022,"3/6","on"," ","oma","A2018"
"Uittamo","3h+keittiö...","kt","66,00",136000,2061,1965,"3/7","on","tyyd.","oma","E2013"
"Vasaramäki","3h, k,p","kt","62,00",113000,1823,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Vasaramäki","3h, k, kh, p","kt","58,50",125775,2150,1961,"3/4","ei","hyvä","vuokra","F2007"
"Itäharju","3h+k","kt","66,00",163000,2470,1966,"3/4","ei","hyvä","oma","F2013"
"Luolavuori","3h+k","kt","59,00",175000,2966,1958,"3/5","ei","hyvä","oma","F2013"
"Keskusta","3h,k,kh,p","kt","73,00",260000,3562,1961,"3/8","on","hyvä","oma","F2013"
"Vasaramäki","3h, k,p","kt","72,00",128000,1778,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Vasaramäki","3h, k, p","kt","83,00",191000,2301,1963,"3/4","ei","hyvä","oma","F"
"Satama","3 h,k,s,parveke","kt","73,00",316500,4336,2020,"3/7","on"," ","oma","A2018"
"Keskusta","3h, k","kt","82,00",220000,2683,1958,"3/7","on","hyvä","oma","F2013"
"Suikkila","3h, k, kph","kt","80,00",157000,1963,1974,"3/6","on"," ","oma","G2013"
"Keskusta","3h,k,kh,parv","kt","69,00",224000,3246,1955,"3/4","on","hyvä","oma","D2007"
"Keskusta / linnanfältti","2-3 h,kt,s","kt","63,00",305000,4841,2019,"3/5","on"," ","oma","B2018"
"Kakolanmäki","3h, kt","kt","54,50",232000,4257,2019,"3/3","on","hyvä"," ","C"
"Jäkärlä","3h,k,vh,wc,kph,...","kt","76,00",76000,1000,1981,"3/3","ei","hyvä","oma","F2013"
"Pohjola","3h, k","kt","66,00",160000,2424,1956,"3/3","ei","tyyd.","oma","F"
"Laukkavuori","3h,k,wc,kph,p","kt","75,00",138627,1848,1972,"3/7","on","hyvä","oma","G2013"
"Jäkärlä","3h,k,kph,vh,p","kt","78,00",63000,808,1982,"3/3","ei","hyvä","oma","F2013"
"Satama","3h,kt,s. erill....","kt","71,00",242750,3419,2020,"3/7","on"," ","vuokra","B2018"
"Hepokulta","3 h,k,kph,wc, parv","kt","77,00",55000,714,1970,"3/4","on"," ","oma","F2013"
"Vasaramäki","3,h,k,kph,parv","kt","77,00",141000,1831,1957,"3/4","ei","hyvä","vuokra","F2013"
"Varissuo","3h, k","kt","76,50",73000,954,1976,"3/9","on","tyyd.","oma","F"
"Satama","3h,kt,s","kt","57,00",213650,3748,2020,"3/7","on"," ","vuokra","B2018"
"Satama","3 h,k,s","kt","55,00",250000,4545,2019,"3/7","on"," ","oma","B2013"
"Nättinummi","3h,k,p, s","kt","76,50",132000,1725,1976,"3/9","on","hyvä","oma","E2013"
"Keskusta","3h+k+s+vh+p","kt","72,00",219000,3042,1983,"3/5","on","tyyd.","oma","D2007"
"Uittamo","3 h+k+wc+kph+kh...","kt","82,00",153000,1866,1974,"3/7","ei","hyvä","oma","C2007"
"Martti","3h, kk, kh","kt","60,00",182000,3033,1939,"3/5","on","hyvä","vuokra","D2013"
"Suikkila","3h,k,kph,vh,p","kt","66,00",130000,1970,1968,"3/8","on","hyvä","oma","F2013"
"Vasaramäki","3h,k,kph,lasit ...","kt","63,00",162000,2571,1962,"2/5","on","tyyd.","oma","F2013"
"Suikkila","3h, k, kh, 2 vh...","kt","80,00",140000,1750,1977,"2/7","on","hyvä","oma","F2013"
"Varissuo","3h+k+kph+vh+lp","kt","77,00",89000,1156,1980," ","on","hyvä","oma","F2013"
"Martti","3h, k, kh, wc, ...","kt","77,50",265000,3419,2009,"2/7","on","hyvä","oma","B2018"
"Satama","3 h,k,s,p","kt","65,00",276000,4246,2022,"2/6","on"," ","oma","A2018"
"Satama","3 h,k,s,parveke","kt","69,00",300000,4348,2020,"2/6","on"," ","oma","A2018"
"Satama","3 h,k,s,vaateh,...","kt","69,00",312000,4522,2022,"2/6","on"," ","oma","A2018"
"Keskusta","3h,k,kph,2 lasi...","kt","68,50",232000,3387,1965,"2/6","on","hyvä","oma","F2013"
"Satama","3 h,k,s,vaateh,...","kt","74,00",314000,4243,2022,"2/6","on"," ","oma","A2018"
"Satama","3 h,k,s","kt","55,00",252450,4590,2019,"2/7","on"," ","oma","B2013"
"Perno","3h+k+kph/wc+vh+...","kt","74,00",69000,932,1964,"2/3","ei","tyyd.","vuokra","G2013"
"Vienola","3h+k+vh+kph+las.p","kt","74,00",77000,1041,1968,"2/3","ei"," ","oma","F2013"
"Satama","3 h,k,s,vaateh,...","kt","74,00",326000,4405,2022,"2/6","on"," ","oma","A2018"
"Kakolanmäki","3 h,kt,s","kt","74,00",289000,3905,2020,"2/6","on"," ","vuokra","B2018"
"Satama","3 h,k,s,vaateh,...","kt","69,00",306000,4435,2022,"2/6","on"," ","oma","A2018"
"Läntinen keskusta","2-3h+kt+s","kt","74,00",333000,4500,2019,"2/6","on","hyvä","oma","C2013"
"Satama","3 h,k,s,erill. ...","kt","81,00",343500,4241,2020,"2/6","on"," ","oma","A2018"
"Itäinen keskusta","3h, kk, s","kt","77,00",288000,3740,2000,"2/4","on","hyvä","oma","F"
"Martti","3 h+k","kt","65,00",190000,2923,1951,"2/5","on","hyvä","oma","D2007"
"Satama","3 h,k,s,parveke","kt","73,00",313552,4295,2020,"2/7","on"," ","oma","A2018"
"Vasaramäki","3h+k","kt","74,00",179000,2419,1958,"2/4","ei","hyvä","oma","D2007"
"Hepokulta","3 h,k,kph,wc, parv","kt","77,00",57000,740,1970,"2/4","on"," ","oma","F2013"
"Keskusta","3h, k, s, p","kt","109,00",320000,2936,1990,"2/6","on","tyyd.","oma","E2013"
"Lauste","3h, k, p","kt","74,00",51500,696,1973,"2/3","ei","tyyd.","vuokra","D"
"Vasaramäki","3h,k,kph,lp","kt","60,00",165000,2750,1965,"2/5","on","hyvä","oma","F2013"
"Itäharju","3h, k, p","kt","66,00",171000,2591,1966,"2/4","ei","hyvä","oma","F2013"
"Halinen","3h+k+s","kt","78,00",128028,1641,1990,"2/3","ei","hyvä","oma","F2013"
"Uittamo","3h, k, kh, wc, p","kt","71,00",149000,2099,1972,"2/7","on","hyvä","oma","C2007"
"Varissuo","3 h + k","kt","77,00",80000,1039,1980,"2/3","on"," ","oma","E2013"
"Länsikeskus","3h,kk,s","kt","72,00",121500,1688,1965,"2/2","ei","hyvä","oma","E2013"
"Koivula","3h,k,s","kt","78,00",128000,1641,1985,"2/3","ei","tyyd.","oma","D2007"
"Nättinummi","3h,k,kph,vh,las...","kt","75,00",140000,1867,1970,"2/7","on","hyvä","oma","D2007"
"Satama","3 h,k,s,khh,eri...","kt","89,00",375000,4213,2020,"2/7","on"," ","oma","A2018"
"Keskusta","3 h,avokeitti&#...","kt","79,00",263500,3335,1956,"2/8","on","hyvä","oma","F2013"
"Jäkärlä","3h, k","kt","80,00",70500,881,1983,"2/3","ei","tyyd.","oma","F"
"Keskusta / linnanfältti","2-3 h,kt,s","kt","62,00",289500,4669,2019,"2/5","on"," ","oma","B2018"
"Varissuo","3h+k","kt","72,50",95000,1310,1984,"2/6","on","hyvä","oma","F2013"
"Vasaramäki","3h, k, kh, p","kt","58,50",134000,2291,1961,"2/4","ei","hyvä","vuokra","F2007"
"Iso-heikkilä","3h,k,kph","kt","66,00",128000,1939,1958,"2/7","on","tyyd.","oma","F2013"
"Luolavuori","3h, k, vh, kph,...","kt","74,00",147000,1986,1980,"2/4","on","hyvä","oma","F2013"
"Martti","3h + k + kph/wc...","kt","67,00",223000,3328,1953,"2/7","on","tyyd.","oma","C2013"
"Hannunniittu","3h, k, kph, p","kt","67,50",102500,1519,1967,"2/7","on","tyyd.","oma","G2013"
"Nummi","3h, k, kph, p","kt","95,50",230000,2408,1951,"2/4","ei","hyvä","oma","F2007"
"Jäkärlä","3 h, k, kph, patio","kt","71,00",88500,1246,1980,"1/3","ei","hyvä","oma","F2013"
"Runosmäki","3H,K","kt","80,00",57500,719,1974,"1/3","ei","tyyd.","oma","C2007"
"Vasaramäki","2-3h, k, kh, p","kt","65,50",178000,2718,1964,"1/4","on","hyvä","oma","E2007"
"Kärsämäki","3h, k, kh, p","kt","79,00",134000,1696,1971,"1/2","ei","hyvä","oma",
"Varissuo","3h,k,kph,lp","kt","77,00",79000,1026,1976,"1/8","on","hyvä","oma","F2013"
"Keskusta","3h+k+kph+s+eril...","kt","78,00",217000,2782,1951,"1/5","on","hyvä","oma","F2013"
"Harittu","3h+k+s","kt","79,00",136000,1722,1988,"1/3","ei","tyyd.","oma","D2007"
"Luolavuori","3h+kk+kh","kt","68,00",145000,2132,1961,"1/4","ei"," ","oma","G2013"
"Perno","3h+keittiö...","kt","74,00",71000,959,1964,"1/6","ei","tyyd.","vuokra","G2013"
"Itäinen keskusta","3 h,k,s,kph, kh...","kt","98,00",340000,3469,1927,"1/3","ei","hyvä","oma","E2007"
"Kakolanmäki","3h, k, s, 2 par...","kt","84,50",290000,3432,2018,"1/4","on","hyvä","vuokra","C"
"Varissuo","3h+k+kph+wc+vh+lp","kt","77,00",70000,909,1978,"1/3","ei","tyyd.","oma","E2013"
"Nättinummi","3h, k, las.p","kt","75,00",151700,2023,1973,"1/7","on","hyvä","oma","D2013"
"Uittamo","3h,k,s,kh,erill...","kt","79,00",185000,2342,1986,"1/6","on","hyvä","oma","B2007"
"Luolavuori","3h+k+kph/wc+vh+...","kt","59,00",134500,2280,1957,"1/5","ei","tyyd.","oma","F2013"
"Nättinummi","3h, k, p","kt","75,00",158000,2107,1970,"1/7","on","hyvä","oma","D"
"Ilpoinen","3h, k","kt","67,00",102000,1522,1968,"1/8","on","tyyd.","oma","E"
"Suikkila","3h, k","kt","80,00",96500,1206,1972,"1/3","ei","tyyd.","oma","F"
"Perno","3h+k+s","kt","79,00",91000,1152,1984,"1/3","ei"," ","oma","F2013"
"Kakolanmäki","3h,kt,khh,s","kt","66,00",309000,4682,2018,"1/3","on","hyvä","vuokra","C2013"
"Martti","3h+k+s","kt","77,00",192500,2500,1960,"1/6","on","tyyd.","oma","D2007"
"Itäharju","3h+k","kt","69,00",75000,1087,1969,"1/8","on","tyyd.","oma","E2013"
"Keskusta","3h, k","kt","71,00",198000,2789,1963,"1/7","on","tyyd.","oma","E"
"Itäharju","3h+k+kph/wc+s+v...","kt","69,00",220000,3188,2012,"1/3","on","hyvä","oma","B2013"
"Martti","3h, k","kt","66,00",217500,3295,1953,"1/7","on","hyvä","oma","C"
"Itäinen keskusta","5H+K+S","kt","109,50",305000,2785,1982,"8/8","on","tyyd.","oma","D"
"Itäinen keskusta","3-4h,k,p","kt","84,00",245000,2917,1967,"6/9","on","hyvä","oma","D2013"
"Ilpoinen","4h, k","kt","80,50",122000,1516,1968,"6/8","on","tyyd.","oma","E2007"
"Nättinummi","4h, k, kh, wc, ...","kt","91,00",141000,1549,1973,"6/8","on","tyyd.","oma","F2013"
"Keskusta","3-4h,k,kh/wc,2v...","kt","71,00",238000,3352,1961,"6/7","on","hyvä","oma","E2007"
"Petrelius","4h+k+parv","kt","89,50",192000,2145,1976,"6/8","on","hyvä","oma","D2013"
"Itäinen keskusta","3-4h+k+vh+las.p","kt","87,00",282000,3241,1957,"6/8","on"," ","oma","F2013"
"Keskusta","4h, k","kt","94,00",350000,3723,1954,"6/7","on","hyvä","oma","F2013"
"Itäinen keskusta","3-4 h, k, s","kt","112,00",345000,3080,1988,"6/6","on","tyyd.","oma","D2018"
"Keskusta itä","4h,k,s,wc,vh,la...","kt","92,00",267000,2902,1966,"6/6","on","hyvä","oma","D2007"
"Petrelius","4h+k+eril. wc+v...","kt","91,00",198000,2176,1969,"6/8","on","hyvä","oma","F2013"
"Satama","4 h,k,s,vaateh,...","kt","80,00",365000,4563,2022,"5/6","on"," ","oma","A2018"
"Satama","4 h,k,s,vaateh,...","kt","80,00",365000,4563,2022,"5/6","on"," ","oma","A2018"
"Uittamo","4h, k","kt","91,00",139500,1533,1978,"5/7","on","tyyd.","oma","D2007"
"Suikkila","5 h, k, ph/wc, ...","kt","146,00",240000,1644,1974,"5/5","on","hyvä","oma","F2013"
"Keskusta","4h, k, p","kt","119,50",365000,3054,1962,"5/8","on","hyvä","oma","D"
"Ruohonpää","4h + k + s","kt","94,00",167000,1777,1990,"5/7","on"," ","oma","G2013"
"Keskusta","5-6h,avo-ja apu...","kt","150,00",415571,2770,1959,"5/8","on","tyyd.","oma","F2013"
"Keskusta","5h+k+kh+parv","kt","100,00",333979,3340,1958,"5/8","on","hyvä","oma","F2013"
"Keskusta länsi","5h, k, kh, p","kt","118,50",252000,2127,1971,"5/7","on","huono","oma","D2013"
"Keskusta","4-5h,k,kph/wc,e...","kt","110,00",352000,3200,1962,"5/8","on"," ","oma","D2018"
"Laukkavuori","4h,k,wc,kph,p","kt","91,00",132000,1451,1972,"5/7","on","tyyd.","oma","G2013"
"Suikkila","3-4h,k,s,2wc,vh,p","kt","99,00",163000,1646,1977,"5/7","on","hyvä","oma","F2013"
"Kupittaa","4h,k,parv","kt","78,00",248000,3179,1966,"5/8","on","tyyd.","oma","E2007"
"Petrelius","4h, k, s, kph, ...","kt","120,00",249000,2075,1969,"5/8","on","hyvä","oma","F2013"
"Turku","4h, k, kph, las...","kt","81,00",220000,2716,1955,"5/7","on","tyyd.","oma","B2007"
"Kakolanmäki","4H,KT,S,P","kt","83,00",390500,4705,2022,"4/6","on","hyvä","vuokra","B2018"
"Keskusta","4h, k, s, 2xpar...","kt","135,00",780000,5778,2004,"4/6","on","hyvä","oma","A2013"
"Satama","4 h,k,s,vaateh,...","kt","80,00",358000,4475,2022,"4/6","on"," ","oma","A2018"
"Suikkila","4h+k","kt","87,00",149500,1718,1966,"4/8","on","tyyd.","oma","F2013"
"Pääskyvuori","4h+k+parv.","kt","90,00",126000,1400,1968,"3/3","ei","hyvä","oma","F2013"
"Satama","4 h,k,s,vaateh,...","kt","80,00",347000,4338,2022,"3/6","on"," ","oma","A2018"
"Keskusta","4 h, k, kph","kt","159,00",382200,2404,1928,"3/5","on","hyvä","oma","D2013"
"Suikkila","4h, k","kt","95,00",133000,1400,1973,"3/3","ei","hyvä","oma","E"
"Itäinen keskusta","oh, rh, 2 k, 5...","kt","253,00",840000,3320,1910,"3/4","on","huono","oma","E2013"
"Runosmäki","4-3h,k,kph,wc,parv","kt","97,00",101850,1050,1972,"2/3","ei"," ","oma","E2007"
"Länsikeskus","4h+keittiö...","kt","88,00",140000,1591,1965,"2/2","ei","hyvä","oma","E2013"
"Keskusta itä","5h, k, kh, wc, p","kt","163,50",525000,3211,1932,"2/6","on","tyyd.","oma","F2013"
"Runosmäki","4h,k,p","kt","95,00",97500,1026,1976,"2/6","on","hyvä","oma","C2007"
"Keskusta länsi","5h, k, kh, p","kt","168,00",420000,2500,1908,"2/3","ei","tyyd.","oma","E2013"
"Iii-kaupunginosa","4h + k + ph + k...","kt","163,00",650000,3988,1908,"2/3","ei","hyvä","oma","E2007"
"Keskusta","4-5h+k+kph+wc","kt","122,00",280000,2295,1958,"2/8","on","hyvä","oma","F"
"Keskusta itä","3h, takkah., k,...","kt","137,00",443000,3234,2006,"1/6","ei","hyvä","oma","D2018"
"Ilpoinen","4 h+k","kt","86,00",126000,1465,1970,"1/3","ei"," ","oma","F2013"
"Itäinen keskusta","4h, k, kph, vh, p.","kt","85,00",285000,3353,1958,"1/7","on","hyvä","oma","F2013"
"Keskusta","5 h, k, kh, s","kt","147,00",352000,2395,1910,"1/5","on","tyyd.","oma","F2013"
"Nummi","4h, k, kph, khh...","kt","126,00",310000,2460,1980,"1/2","ei","hyvä","oma",
"Uittamo","4h+k+s","kt","93,50",196000,2096,1981,"1/3","ei","hyvä","oma","E"
"Perno","4h+k","kt","88,00",90000,1023,1968,"1/2","ei","hyvä","oma","E2013"
"Kakola","4h, k, kph, s, ...","kt","86,50",415000,4798,2018,"1/3","on","hyvä","vuokra","C2018"
"Perno","4h,k,kph,s,las.p","kt","96,00",82000,854,1980," ","ei","tyyd.","oma","F2018"
